Country,2020 Masters or Equivalent Achieved,2020 Doctorate or Equivalent Achieved,Population,GDP
Australia,9.39603996276855,1.57927000522614,25687041,"1,326,944,627,876.87"
Bahrain,2.04341006278992,0.264780014753342,1701583,"34,621,807,712.766"
Bolivia,0.973389983177185,0.117499999701977,11673029,"36,629,843,806.0781"
Bosnia and Herzegovina,1.56954002380371,0.181789994239807,3280815,"20,226,030,731.0131"
Costa Rica,2.85759997367859,0.221780002117157,5094114,"62,395,610,764.0705"
Cyprus,13.4258699417114,1.05020999908447,1207361,"25,008,266,159.2479"
Denmark,13.4771604537964,1.12636995315552,5831404,"355,222,449,505.211"
Estonia,21.2413291931152,0.931609988212585,1331057,"31,370,395,572.7653"
Germany,12.4828596115112,1.50710999965668,83240525,"3,889,668,895,299.56"
Greece,6.85041999816895,0.716400027275085,10715549,"188,925,995,936.803"
Hungary,11.7679395675659,0.68953001499176,9749763,"157,227,094,449.074"
Iceland,16.8670806884766,1.41851997375488,366425,"21,553,080,483.8132"
Indonesia,0.618369996547699,0.044369999319315,273523621,"1,059,054,842,711.72"
Italy,12.964750289917,0.401259988546371,59554023,"1,897,210,466,667.52"
Jordan,2.13337993621826,0.722280025482178,10203140,"43,579,916,197.1831"
Lithuania,14.590950012207,0.852439999580383,2794700,"56,914,826,860.6918"
Mali,1.01243996620178,0.0525300018489361,20250834,"17,465,392,779.0366"
Malta,9.47515964508057,0.708400011062622,525285,"15,046,136,935.4814"
Mexico,2.45360994338989,0.313980013132095,128932753,"1,090,514,966,785.91"
Mongolia,3.1380500793457,0.200440004467964,3278292,"13,312,981,427.4023"
Mozambique,0.290030002593994,0.047070000320673,31255435,"14,156,864,916.4711"
Netherlands,13.1361503601074,0.706110000610352,16655799,"909,793,466,661.466"
New Zealand,6.23069000244141,1.12228000164032,5084300,"212,569,779,569.515"
North Macedonia,1.93279004096985,0.253210008144379,2077132,"12,363,580,534.6811"
Oman,1.64216005802155,0.294869989156723,5106622,"75,909,397,659.2978"
Paraguay,6.64340019226074,0.0910300016403198,7132530,"35,432,177,936.3317"
Poland,21.8941097259521,0.648769974708557,37950802,"599,442,783,603.187"
Portugal,16.1905002593994,0.762510001659393,10305564,"229,031,860,520.773"
Saudi Arabia,3.59056997299194,1.15103995800018,34813867,"734,271,183,954.88"
Spain,14.1927499771118,0.881889998912811,47351567,"1,276,962,685,648.23"
United Kingdom,13.5756597518921,1.07942998409271,67215293,"2,704,609,160,088.15"
United States,14.1386003494263,2.08855009078979,329484123,"21,060,473,613,000.0"
