Geography,Canada,Canada,Canada,Canada,Canada,Canada,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Ontario 10,Ontario 11,Ontario 12,Ontario 13,Ontario 14,Ontario 15,Alberta 11,Alberta 12,Alberta 13,Alberta 14,Alberta 15,Alberta 16,British Columbia 12,British Columbia 13,British Columbia 14,British Columbia 15,British Columbia 16,British Columbia 17
International Standard Classification of Education (ISCED) 7,"Total, International Standard Classification of Education (ISCED)",,Master's or equivalent,,Doctoral or equivalent,,"Total, International Standard Classification of Education (ISCED)",,Master's or equivalent,,Doctoral or equivalent,,"Total, International Standard Classification of Education (ISCED)",,Master's or equivalent,,Doctoral or equivalent,,"Total, International Standard Classification of Education (ISCED)",,Master's or equivalent,,Doctoral or equivalent,,"Total, International Standard Classification of Education (ISCED)",,Master's or equivalent,,Doctoral or equivalent,
Fall School Year ,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total, country of citizenship","373,599","400,521","42,933","48,915","22,083","23,760","54,522","59,730","14,151","15,903","8,265","8,865","191,886","213,564","15,402","17,748","6,579","7,440","23,667","25,311","3,105","3,759","2,385","2,463","64,758","63,861","4,905","5,445","2,715","2,883"
Canada  [11124],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greenland  [11304],0,0,0,0,..,..,..,..,..,..,..,..,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Saint Pierre and Miquelon  [11666],36,39,3,0,..,..,36,36,3,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,3,..,..,..,..
United States of America  [11840],"9,858","10,242","1,821","2,010","1,536","1,638","2,952","3,021",315,390,324,330,"2,793","3,048",624,693,579,630,483,477,96,111,111,114,"2,469","2,538",441,471,402,426
Belize  [12084],150,135,9,6,9,9,3,6,..,..,3,3,48,45,0,3,..,..,6,3,..,..,..,..,12,18,0,0,3,3
Costa Rica  [12188],123,144,24,27,30,30,21,24,6,3,9,12,54,66,12,12,9,9,12,21,3,3,6,6,27,27,0,3,3,3
El Salvador  [12222],327,321,12,6,6,6,33,36,0,0,3,3,126,126,3,3,0,..,24,27,0,0,..,..,117,111,6,3,3,3
Guatemala  [12320],78,87,3,9,6,6,18,15,0,3,3,3,30,33,3,3,..,..,6,6,0,..,0,0,18,21,..,..,..,..
Honduras  [12340],210,246,12,18,6,9,18,18,3,3,..,3,84,117,6,6,3,3,15,15,3,0,..,..,27,30,..,3,0,0
Mexico  [12484],"3,198","4,257",537,630,459,504,618,729,186,204,177,213,"1,137","1,593",159,159,147,144,297,375,63,75,72,72,894,"1,209",78,123,45,48
Nicaragua  [12558],66,78,3,3,0,3,24,27,0,3,0,0,21,27,0,..,..,3,6,6,0,..,..,3,6,9,..,..,..,..
Panama  [12591],207,252,9,9,6,6,15,12,0,0,3,3,123,165,3,3,3,..,24,9,..,3,..,0,39,51,0,0,0,0
Antigua and Barbuda  [13028],135,120,0,3,0,0,0,3,..,..,..,..,51,42,0,3,..,..,6,6,..,..,..,..,0,3,..,..,..,..
Bahamas  [13044],"1,062",987,24,24,9,9,15,15,3,0,3,3,318,327,9,12,3,6,45,42,3,3,3,0,45,39,6,6,3,3
Barbados  [13052],381,369,21,24,12,9,12,12,6,3,..,..,294,291,9,12,6,3,18,15,0,0,0,0,12,9,3,0,3,3
Bermuda  [13060],357,315,6,3,3,3,6,3,..,..,..,..,165,147,0,3,..,..,3,6,..,..,..,..,9,6,..,..,..,..
"Virgin Islands, British  [13092]",9,6,3,0,..,..,3,..,..,..,..,..,0,0,0,0,..,..,3,3,3,3,..,..,0,3,..,..,..,..
Cayman Islands  [13136],66,60,..,..,..,..,..,..,..,..,..,..,48,45,..,..,..,..,3,0,..,..,..,..,3,3,..,..,..,..
Cuba  [13192],102,102,33,27,51,57,42,39,24,15,18,24,27,24,3,3,15,15,18,12,3,3,12,9,3,6,0,0,3,3
Dominica  [13212],60,54,3,6,3,3,6,6,3,3,..,..,39,33,3,6,..,..,0,3,..,..,..,..,6,6,..,..,3,3
Dominican Republic  [13214],207,267,24,12,3,3,63,42,21,3,0,0,102,162,3,3,0,0,6,15,0,..,..,0,18,27,..,3,..,..
Grenada  [13308],48,45,6,6,..,0,3,3,..,..,..,..,30,30,3,3,..,0,3,3,..,0,..,..,0,0,0,0,..,..
Guadeloupe  [13312],114,93,6,9,3,3,114,93,6,9,3,3,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Haiti  [13332],681,819,198,249,75,84,495,582,162,210,63,72,147,177,36,39,12,9,6,6,..,..,..,..,3,6,..,..,3,3
Jamaica  [13388],"1,629","1,359",96,102,42,39,21,15,3,3,6,6,975,828,30,36,18,18,126,108,9,6,6,6,189,165,12,9,6,6
Martinique  [13474],99,99,3,9,0,0,96,96,3,9,0,0,3,3,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
Montserrat  [13500],3,..,..,..,..,..,..,..,..,..,..,..,3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Curaçao  [13531],27,27,0,0,..,..,..,..,..,..,..,..,21,21,0,0,..,..,..,..,..,..,..,..,6,6,..,..,..,..
Aruba  [13533],36,30,..,..,..,..,..,..,..,..,..,..,30,27,..,..,..,..,3,..,..,..,..,..,..,..,..,..,..,..
Sint Maarten (Dutch part)  [13534],9,18,..,..,..,..,..,..,..,..,..,..,6,18,..,..,..,..,3,..,..,..,..,..,..,..,..,..,..,..
"Bonaire, Sint Eustatius and Saba  [13535]",0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
Netherlands Antilles,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Puerto Rico  [13630],9,6,3,3,3,3,0,0,0,0,..,..,3,3,0,0,0,..,0,0,..,..,0,0,3,3,..,..,0,0
Saint Barthélemy  [13652],0,3,..,..,..,..,0,3,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Saint Kitts and Nevis  [13659],45,51,0,3,..,0,3,6,..,..,..,..,21,24,0,0,..,..,3,3,..,..,..,..,3,3,..,..,..,..
Anguilla  [13660],6,9,..,..,..,..,..,..,..,..,..,..,3,9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Saint Lucia  [13662],111,99,6,6,0,0,6,3,3,3,0,0,60,54,..,..,..,..,6,3,..,..,0,..,0,3,..,0,..,..
Saint Martin (French part)  [13663],3,12,..,..,..,..,3,9,..,..,..,..,3,3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Saint Vincent and the Grenadines  [13670],42,45,3,9,3,3,6,3,0,0,0,0,30,27,0,3,..,..,3,6,..,0,0,0,0,0,..,0,..,..
Trinidad and Tobago  [13780],684,660,48,39,18,12,21,18,6,3,0,..,534,549,21,21,15,12,27,36,0,3,0,0,30,24,6,6,0,0
Turks and Caicos Islands  [13796],15,12,..,..,..,..,..,..,..,..,..,..,6,9,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
"Virgin Islands, United States  [13850]",0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
Argentina  [14032],207,330,45,75,45,42,54,60,21,24,12,12,99,168,21,36,18,18,15,24,3,3,3,3,27,57,3,6,3,6
Bolivia  [14068],78,123,12,15,9,6,21,21,3,0,6,6,27,48,0,6,3,3,6,12,3,3,..,3,18,33,0,3,0,..
Brazil  [14076],"5,199","4,686",564,489,696,750,723,648,177,138,294,315,"2,352","2,109",177,147,189,237,390,405,57,51,78,66,"1,254","1,089",78,78,72,78
Chile  [14152],402,588,81,102,117,117,84,87,21,21,33,33,147,246,33,36,36,33,39,63,9,12,12,12,99,138,12,21,33,27
Colombia  [14170],"2,217","2,907",303,357,261,306,450,537,132,153,111,138,"1,107","1,578",63,75,69,78,207,231,45,42,36,36,300,420,30,42,33,36
